Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:16:12,2022-06-02 16:17:44,1m - 31.845s,ERROR
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:16:12,2022-06-02 16:17:01,48.702s,PASSED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.61,,,2022-06-02 16:16:13,2022-06-02 16:16:13,0.038s,PASSED
no = 62812 + Time,Chrome 102.0.5005.61,,,2022-06-02 16:16:13,2022-06-02 16:16:13,0.000s,PASSED
Phone = no,Chrome 102.0.5005.61,,,2022-06-02 16:16:13,2022-06-02 16:16:13,0.172s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-02 16:16:13,2022-06-02 16:16:20,6.564s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-02 16:16:20,2022-06-02 16:16:20,0.315s,PASSED
navigateToUrl(url),Chrome 102.0.5005.61,,,2022-06-02 16:16:20,2022-06-02 16:16:24,3.893s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.61,,,2022-06-02 16:16:24,2022-06-02 16:16:24,0.025s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.61,,,2022-06-02 16:16:24,2022-06-02 16:16:24,0.278s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.61,,,2022-06-02 16:16:24,2022-06-02 16:16:26,1.554s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.61,User Memilih Pemberi Dana,,2022-06-02 16:16:26,2022-06-02 16:16:26,0.007s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-02 16:16:26,2022-06-02 16:16:28,2.031s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.61,,,2022-06-02 16:16:28,2022-06-02 16:16:33,5.308s,PASSED
delay(1),Chrome 102.0.5005.61,,,2022-06-02 16:16:33,2022-06-02 16:16:34,1.019s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Malik Mukti"")",Chrome 102.0.5005.61,,,2022-06-02 16:16:34,2022-06-02 16:16:35,0.684s,PASSED
ts = currentTimeMillis().toString(),Chrome 102.0.5005.61,,,2022-06-02 16:16:35,2022-06-02 16:16:35,0.018s,PASSED
"tambahEmail = ""mukti"" + Time",Chrome 102.0.5005.61,,,2022-06-02 16:16:35,2022-06-02 16:16:35,0.002s,PASSED
email = tambahEmail,Chrome 102.0.5005.61,,,2022-06-02 16:16:35,2022-06-02 16:16:35,0.001s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Email""), tambahEmail + ""@inboxkitten.com"")",Chrome 102.0.5005.61,,,2022-06-02 16:16:35,2022-06-02 16:16:35,0.298s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/PhoneNumber""), Phone)",Chrome 102.0.5005.61,,,2022-06-02 16:16:35,2022-06-02 16:16:35,0.162s,PASSED
"setEncryptedText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Password""), ""nM+yxytsbVExwYpLLLYeHg=="")",Chrome 102.0.5005.61,Password di enkripsi,,2022-06-02 16:16:35,2022-06-02 16:16:36,0.412s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/jenisAkun""))",Chrome 102.0.5005.61,Individual,,2022-06-02 16:16:36,2022-06-02 16:16:36,0.703s,PASSED
"selectOptionByLabel(findTestObject(""Daftar/1. Registrasi Pemberi Dana/BagaimanaKamuTauAlami""), ""Instagram"", true)",Chrome 102.0.5005.61,Instagram,,2022-06-02 16:16:36,2022-06-02 16:16:38,1.445s,PASSED
delay(4),Chrome 102.0.5005.61,,,2022-06-02 16:16:38,2022-06-02 16:16:42,4.018s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Daftar Alami""))",Chrome 102.0.5005.61,Click Lanjutkan ke tahap 2,,2022-06-02 16:16:42,2022-06-02 16:16:42,0.342s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-02 16:16:42,2022-06-02 16:16:44,2.017s,PASSED
"comment(""Fase 2"")",Chrome 102.0.5005.61,Kebijakan dan Privasi,,2022-06-02 16:16:44,2022-06-02 16:16:44,0.004s,PASSED
"click(findTestObject(""Daftar/scroll""))",Chrome 102.0.5005.61,,,2022-06-02 16:16:44,2022-06-02 16:16:44,0.126s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:44,2022-06-02 16:16:44,0.111s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:44,2022-06-02 16:16:45,0.109s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.037s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.031s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.042s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.042s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.031s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.034s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.040s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.031s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.038s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.150s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.033s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.030s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.033s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.030s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.030s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.030s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:16:45,2022-06-02 16:16:45,0.035s,PASSED
