Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:20:50,2022-06-02 16:22:27,1m - 36.419s,PASSED
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-02 16:20:51,2022-06-02 16:21:38,47.722s,PASSED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.61,,,2022-06-02 16:20:51,2022-06-02 16:20:51,0.043s,PASSED
no = 62812 + Time,Chrome 102.0.5005.61,,,2022-06-02 16:20:51,2022-06-02 16:20:51,0.000s,PASSED
Phone = no,Chrome 102.0.5005.61,,,2022-06-02 16:20:51,2022-06-02 16:20:51,0.167s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-02 16:20:51,2022-06-02 16:20:56,4.582s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-02 16:20:56,2022-06-02 16:20:56,0.216s,PASSED
navigateToUrl(url),Chrome 102.0.5005.61,,,2022-06-02 16:20:56,2022-06-02 16:21:00,4.276s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.61,,,2022-06-02 16:21:00,2022-06-02 16:21:00,0.052s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.61,,,2022-06-02 16:21:00,2022-06-02 16:21:01,0.278s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.61,,,2022-06-02 16:21:01,2022-06-02 16:21:02,1.733s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.61,User Memilih Pemberi Dana,,2022-06-02 16:21:02,2022-06-02 16:21:02,0.003s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-02 16:21:02,2022-06-02 16:21:04,2.015s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.61,,,2022-06-02 16:21:04,2022-06-02 16:21:08,3.308s,PASSED
delay(1),Chrome 102.0.5005.61,,,2022-06-02 16:21:08,2022-06-02 16:21:09,1.010s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Malik Mukti"")",Chrome 102.0.5005.61,,,2022-06-02 16:21:09,2022-06-02 16:21:10,1.685s,PASSED
ts = currentTimeMillis().toString(),Chrome 102.0.5005.61,,,2022-06-02 16:21:10,2022-06-02 16:21:10,0.013s,PASSED
"tambahEmail = ""mukti"" + Time",Chrome 102.0.5005.61,,,2022-06-02 16:21:10,2022-06-02 16:21:10,0.001s,PASSED
email = tambahEmail,Chrome 102.0.5005.61,,,2022-06-02 16:21:10,2022-06-02 16:21:10,0.001s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Email""), tambahEmail + ""@inboxkitten.com"")",Chrome 102.0.5005.61,,,2022-06-02 16:21:10,2022-06-02 16:21:11,0.197s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/PhoneNumber""), Phone)",Chrome 102.0.5005.61,,,2022-06-02 16:21:11,2022-06-02 16:21:11,0.258s,PASSED
"setEncryptedText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Password""), ""nM+yxytsbVExwYpLLLYeHg=="")",Chrome 102.0.5005.61,Password di enkripsi,,2022-06-02 16:21:11,2022-06-02 16:21:11,0.412s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/jenisAkun""))",Chrome 102.0.5005.61,Individual,,2022-06-02 16:21:11,2022-06-02 16:21:13,1.792s,PASSED
"selectOptionByLabel(findTestObject(""Daftar/1. Registrasi Pemberi Dana/BagaimanaKamuTauAlami""), ""Instagram"", true)",Chrome 102.0.5005.61,Instagram,,2022-06-02 16:21:13,2022-06-02 16:21:13,0.302s,PASSED
delay(4),Chrome 102.0.5005.61,,,2022-06-02 16:21:13,2022-06-02 16:21:17,4.013s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Daftar Alami""))",Chrome 102.0.5005.61,Click Lanjutkan ke tahap 2,,2022-06-02 16:21:17,2022-06-02 16:21:19,1.928s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-02 16:21:19,2022-06-02 16:21:21,2.010s,PASSED
"comment(""Fase 2"")",Chrome 102.0.5005.61,Kebijakan dan Privasi,,2022-06-02 16:21:21,2022-06-02 16:21:21,0.010s,PASSED
"click(findTestObject(""Daftar/scroll""))",Chrome 102.0.5005.61,,,2022-06-02 16:21:21,2022-06-02 16:21:22,0.204s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.110s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.048s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.065s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.032s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.033s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.61,,,2022-06-02 16:21:22,2022-06-02 16:21:22,0.044s,PASSED
