Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-06 09:52:21,2022-06-06 09:54:29,2m - 7.938s,PASSED
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-06 09:52:21,2022-06-06 09:53:14,52.663s,PASSED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.61,,,2022-06-06 09:52:22,2022-06-06 09:52:22,0.042s,PASSED
no = 62812 + Time,Chrome 102.0.5005.61,,,2022-06-06 09:52:22,2022-06-06 09:52:22,0.000s,PASSED
Phone = no,Chrome 102.0.5005.61,,,2022-06-06 09:52:22,2022-06-06 09:52:22,0.179s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-06 09:52:22,2022-06-06 09:52:27,5.139s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-06 09:52:27,2022-06-06 09:52:27,0.179s,PASSED
navigateToUrl(url),Chrome 102.0.5005.61,,,2022-06-06 09:52:27,2022-06-06 09:52:31,3.535s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.61,,,2022-06-06 09:52:31,2022-06-06 09:52:31,0.024s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.61,,,2022-06-06 09:52:31,2022-06-06 09:52:31,0.561s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.61,,,2022-06-06 09:52:31,2022-06-06 09:52:36,4.478s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.61,User Memilih Pemberi Dana,,2022-06-06 09:52:36,2022-06-06 09:52:36,0.011s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-06 09:52:36,2022-06-06 09:52:38,2.026s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.61,,,2022-06-06 09:52:38,2022-06-06 09:52:44,6.446s,PASSED
delay(1),Chrome 102.0.5005.61,,,2022-06-06 09:52:44,2022-06-06 09:52:45,1.009s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Mukti Malik"")",Chrome 102.0.5005.61,,,2022-06-06 09:52:45,2022-06-06 09:52:46,0.840s,PASSED
ts = currentTimeMillis().toString(),Chrome 102.0.5005.61,,,2022-06-06 09:52:46,2022-06-06 09:52:46,0.009s,PASSED
"tambahEmail = ""mukti"" + Time",Chrome 102.0.5005.61,,,2022-06-06 09:52:46,2022-06-06 09:52:46,0.002s,PASSED
email = tambahEmail,Chrome 102.0.5005.61,,,2022-06-06 09:52:46,2022-06-06 09:52:46,0.001s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Email""), tambahEmail + ""@inboxkitten.com"")",Chrome 102.0.5005.61,,,2022-06-06 09:52:46,2022-06-06 09:52:46,0.286s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/PhoneNumber""), Phone)",Chrome 102.0.5005.61,,,2022-06-06 09:52:46,2022-06-06 09:52:48,1.210s,PASSED
"setEncryptedText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Password""), ""nM+yxytsbVExwYpLLLYeHg=="")",Chrome 102.0.5005.61,Password di enkripsi,,2022-06-06 09:52:48,2022-06-06 09:52:48,0.417s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/jenisAkun""))",Chrome 102.0.5005.61,Individual,,2022-06-06 09:52:48,2022-06-06 09:52:49,0.724s,PASSED
"selectOptionByLabel(findTestObject(""Daftar/1. Registrasi Pemberi Dana/BagaimanaKamuTauAlami""), ""Instagram"", true)",Chrome 102.0.5005.61,Instagram,,2022-06-06 09:52:49,2022-06-06 09:52:49,0.290s,PASSED
delay(4),Chrome 102.0.5005.61,,,2022-06-06 09:52:49,2022-06-06 09:52:53,4.019s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Daftar Alami""))",Chrome 102.0.5005.61,Click Lanjutkan ke tahap 2,,2022-06-06 09:52:53,2022-06-06 09:52:53,0.310s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-06 09:52:53,2022-06-06 09:52:55,2.011s,PASSED
"comment(""Fase 2"")",Chrome 102.0.5005.61,Kebijakan dan Privasi,,2022-06-06 09:52:55,2022-06-06 09:52:55,0.007s,PASSED
"click(findTestObject(""Daftar/scroll""))",Chrome 102.0.5005.61,,,2022-06-06 09:52:55,2022-06-06 09:52:57,1.453s,PASSED
