Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-03 05:25:00,2022-06-03 05:27:04,2m - 3.122s,PASSED
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.61,,,2022-06-03 05:25:01,2022-06-03 05:26:04,1m - 2.860s,PASSED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.61,,,2022-06-03 05:25:01,2022-06-03 05:25:01,0.044s,PASSED
no = 62812 + Time,Chrome 102.0.5005.61,,,2022-06-03 05:25:01,2022-06-03 05:25:01,0.001s,PASSED
Phone = no,Chrome 102.0.5005.61,,,2022-06-03 05:25:01,2022-06-03 05:25:02,0.179s,PASSED
"openBrowser("""")",Chrome 102.0.5005.61,,,2022-06-03 05:25:02,2022-06-03 05:25:06,4.428s,PASSED
maximizeWindow(),Chrome 102.0.5005.61,,,2022-06-03 05:25:06,2022-06-03 05:25:07,1.272s,PASSED
navigateToUrl(url),Chrome 102.0.5005.61,,,2022-06-03 05:25:07,2022-06-03 05:25:22,14.275s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.61,,,2022-06-03 05:25:22,2022-06-03 05:25:22,0.020s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.61,,,2022-06-03 05:25:22,2022-06-03 05:25:22,0.252s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.61,,,2022-06-03 05:25:22,2022-06-03 05:25:26,4.070s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.61,User Memilih Pemberi Dana,,2022-06-03 05:25:26,2022-06-03 05:25:26,0.006s,PASSED
delay(2),Chrome 102.0.5005.61,,,2022-06-03 05:25:26,2022-06-03 05:25:28,2.026s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.61,,,2022-06-03 05:25:28,2022-06-03 05:25:37,9.338s,PASSED
delay(1),Chrome 102.0.5005.61,,,2022-06-03 05:25:37,2022-06-03 05:25:38,1.025s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Malik Mukti"")",Chrome 102.0.5005.61,,,2022-06-03 05:25:38,2022-06-03 05:25:39,0.539s,PASSED
