Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,Chrome 102.0.5005.115,,,2022-06-16 09:18:57,2022-06-16 09:20:50,1m - 53.834s,PASSED
,,,,,,,
Test Cases/Registrasi Pemberi Dana,Chrome 102.0.5005.115,,,2022-06-16 09:18:57,2022-06-16 09:20:01,1m - 4.396s,PASSED
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),Chrome 102.0.5005.115,,,2022-06-16 09:18:58,2022-06-16 09:18:58,0.044s,PASSED
no = 62812 + Time,Chrome 102.0.5005.115,,,2022-06-16 09:18:58,2022-06-16 09:18:58,0.001s,PASSED
Phone = no,Chrome 102.0.5005.115,,,2022-06-16 09:18:58,2022-06-16 09:18:58,0.189s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-16 09:18:58,2022-06-16 09:19:22,23.862s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-16 09:19:22,2022-06-16 09:19:22,0.203s,PASSED
navigateToUrl(url),Chrome 102.0.5005.115,,,2022-06-16 09:19:22,2022-06-16 09:19:25,3.605s,PASSED
"comment(""Masuk ke halaman web login"")",Chrome 102.0.5005.115,,,2022-06-16 09:19:25,2022-06-16 09:19:25,0.028s,PASSED
"verifyElementText(findTestObject(""Daftar/belum punya Akun""), ""Belum memiliki Akun ? Daftar disini"")",Chrome 102.0.5005.115,,,2022-06-16 09:19:25,2022-06-16 09:19:26,0.254s,PASSED
"click(findTestObject(""Daftar/Daftar disini""))",Chrome 102.0.5005.115,,,2022-06-16 09:19:26,2022-06-16 09:19:27,1.719s,PASSED
"comment(""Masuk menuju halaman jenis Akun"")",Chrome 102.0.5005.115,User Memilih Pemberi Dana,,2022-06-16 09:19:27,2022-06-16 09:19:27,0.004s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-16 09:19:27,2022-06-16 09:19:29,2.022s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Pemberi dana""))",Chrome 102.0.5005.115,,,2022-06-16 09:19:29,2022-06-16 09:19:33,3.562s,PASSED
delay(1),Chrome 102.0.5005.115,,,2022-06-16 09:19:33,2022-06-16 09:19:34,1.012s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Nama lengkap""), ""Mukti Malik"")",Chrome 102.0.5005.115,,,2022-06-16 09:19:34,2022-06-16 09:19:35,1.205s,PASSED
ts = currentTimeMillis().toString(),Chrome 102.0.5005.115,,,2022-06-16 09:19:35,2022-06-16 09:19:35,0.013s,PASSED
"tambahEmail = ""mukti"" + Time",Chrome 102.0.5005.115,,,2022-06-16 09:19:35,2022-06-16 09:19:35,0.002s,PASSED
email = tambahEmail,Chrome 102.0.5005.115,,,2022-06-16 09:19:35,2022-06-16 09:19:35,0.001s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Email""), tambahEmail + ""@inboxkitten.com"")",Chrome 102.0.5005.115,,,2022-06-16 09:19:35,2022-06-16 09:19:36,0.280s,PASSED
"setText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/PhoneNumber""), Phone)",Chrome 102.0.5005.115,,,2022-06-16 09:19:36,2022-06-16 09:19:36,0.155s,PASSED
"setEncryptedText(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Password""), ""nM+yxytsbVExwYpLLLYeHg=="")",Chrome 102.0.5005.115,Password di enkripsi,,2022-06-16 09:19:36,2022-06-16 09:19:36,0.369s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/jenisAkun""))",Chrome 102.0.5005.115,Individual,,2022-06-16 09:19:36,2022-06-16 09:19:38,1.531s,PASSED
"selectOptionByLabel(findTestObject(""Daftar/1. Registrasi Pemberi Dana/BagaimanaKamuTauAlami""), ""Instagram"", true)",Chrome 102.0.5005.115,Instagram,,2022-06-16 09:19:38,2022-06-16 09:19:38,0.579s,PASSED
delay(4),Chrome 102.0.5005.115,,,2022-06-16 09:19:38,2022-06-16 09:19:42,4.007s,PASSED
"click(findTestObject(""Daftar/1. Registrasi Pemberi Dana/Daftar Alami""))",Chrome 102.0.5005.115,Click Lanjutkan ke tahap 2,,2022-06-16 09:19:42,2022-06-16 09:19:43,0.364s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-16 09:19:43,2022-06-16 09:19:45,2.015s,PASSED
"comment(""Fase 2"")",Chrome 102.0.5005.115,Kebijakan dan Privasi,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.006s,PASSED
"click(findTestObject(""Daftar/scroll""))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.133s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.095s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.042s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.039s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.028s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.033s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.036s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.034s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.038s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.042s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.055s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.028s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.192s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.032s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.033s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.036s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:45,0.041s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:45,2022-06-16 09:19:46,0.036s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.031s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.037s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.033s,PASSED
"click(findTestObject(""Daftar/2. Kebijakan dan Privasi/Ceklis Tertarik Update Info Terbaru""))",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.089s,PASSED
"scrollToElement(findTestObject(""Daftar/2. Kebijakan dan Privasi/Scroll Webview""), 3)",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.112s,PASSED
"scrollToPosition(9999, 9999)",Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:46,0.032s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-16 09:19:46,2022-06-16 09:19:48,2.008s,PASSED
"click(findTestObject(""Daftar/2. Kebijakan dan Privasi/Setujui kebijakan""))",Chrome 102.0.5005.115,Menyetujui Kebijakan,,2022-06-16 09:19:48,2022-06-16 09:19:48,0.254s,PASSED
delay(3),Chrome 102.0.5005.115,,,2022-06-16 09:19:48,2022-06-16 09:19:51,3.038s,PASSED
"click(findTestObject(""Daftar/2. Kebijakan dan Privasi/Lanjutkan ke Slide 3""))",Chrome 102.0.5005.115,"Next ke fase 3
",,2022-06-16 09:19:51,2022-06-16 09:19:51,0.200s,PASSED
"comment("" Next ke Fase 3 : Aktivasi Email"")",Chrome 102.0.5005.115,,,2022-06-16 09:19:51,2022-06-16 09:19:51,0.002s,PASSED
delay(10),Chrome 102.0.5005.115,,,2022-06-16 09:19:51,2022-06-16 09:20:01,10.014s,PASSED
,,,,,,,
Test Cases/Aktivasi Email Alternativ,Chrome 102.0.5005.115,,,2022-06-16 09:20:01,2022-06-16 09:20:29,27.330s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 102.0.5005.115,,,2022-06-16 09:20:02,2022-06-16 09:20:02,0.095s,PASSED
currentWindow = getWindowIndex(),Chrome 102.0.5005.115,,,2022-06-16 09:20:02,2022-06-16 09:20:02,0.021s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 102.0.5005.115,,,2022-06-16 09:20:02,2022-06-16 09:20:02,0.025s,PASSED
"navigateToUrl(""https://inboxkitten.com/"")",Chrome 102.0.5005.115,,,2022-06-16 09:20:02,2022-06-16 09:20:09,6.743s,PASSED
delay(3),Chrome 102.0.5005.115,,,2022-06-16 09:20:09,2022-06-16 09:20:12,3.010s,PASSED
"setText(findTestObject(""Aktivasi Email/MailBox""), email)",Chrome 102.0.5005.115,,,2022-06-16 09:20:12,2022-06-16 09:20:12,0.389s,PASSED
"click(findTestObject(""Aktivasi Email/Btn Periksa Email""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:12,2022-06-16 09:20:12,0.226s,PASSED
delay(5),Chrome 102.0.5005.115,,,2022-06-16 09:20:12,2022-06-16 09:20:17,5.011s,PASSED
"click(findTestObject(""Aktivasi Email/Open Message""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:17,2022-06-16 09:20:17,0.138s,PASSED
delay(1),Chrome 102.0.5005.115,,,2022-06-16 09:20:17,2022-06-16 09:20:18,1.022s,PASSED
"switchToFrame(findTestObject(""Aktivasi Email/Frame""), 1)",Chrome 102.0.5005.115,,,2022-06-16 09:20:18,2022-06-16 09:20:21,2.975s,PASSED
"click(findTestObject(""Aktivasi Email/Scroll Email""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:21,2022-06-16 09:20:21,0.122s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:20:21,2022-06-16 09:20:22,0.310s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:20:22,2022-06-16 09:20:22,0.037s,PASSED
"sendKeys(findTestObject(null), Keys.chord(ALT, DOWN))",Chrome 102.0.5005.115,,,2022-06-16 09:20:22,2022-06-16 09:20:22,0.035s,PASSED
delay(3),Chrome 102.0.5005.115,,,2022-06-16 09:20:22,2022-06-16 09:20:25,3.012s,PASSED
"click(findTestObject(""Aktivasi Email/Klik Aktivasi""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:25,2022-06-16 09:20:25,0.215s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-16 09:20:25,2022-06-16 09:20:27,2.008s,PASSED
switchToWindowIndex(2),Chrome 102.0.5005.115,,,2022-06-16 09:20:27,2022-06-16 09:20:27,0.016s,PASSED
"click(findTestObject(""Aktivasi Email/masuk ke akun saya""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:27,2022-06-16 09:20:29,1.647s,PASSED
,,,,,,,
Test Cases/Login,Chrome 102.0.5005.115,,,2022-06-16 09:20:29,2022-06-16 09:20:50,21.675s,PASSED
"verifyElementText(findTestObject(""Login/Dashboard""), ""Login untuk masuk ke akun Kamu."")",Chrome 102.0.5005.115,,,2022-06-16 09:20:29,2022-06-16 09:20:29,0.145s,PASSED
"setText(findTestObject(""Login/Email""), email + ""@inboxkitten.com"")",Chrome 102.0.5005.115,,,2022-06-16 09:20:29,2022-06-16 09:20:29,0.339s,PASSED
"setEncryptedText(findTestObject(""Login/Password""), ""nM+yxytsbVExwYpLLLYeHg=="")",Chrome 102.0.5005.115,,,2022-06-16 09:20:29,2022-06-16 09:20:30,0.339s,PASSED
delay(3),Chrome 102.0.5005.115,,,2022-06-16 09:20:30,2022-06-16 09:20:33,3.008s,PASSED
"click(findTestObject(""Login/LoginBtn""))",Chrome 102.0.5005.115,,,2022-06-16 09:20:33,2022-06-16 09:20:33,0.499s,PASSED
delay(15),Chrome 102.0.5005.115,,,2022-06-16 09:20:33,2022-06-16 09:20:48,15.011s,PASSED
"verifyElementText(findTestObject(""Login/Verify login Successfully""), ""Lengkapi Profilmu Untuk Aktivasi Akun dan RDF (Rekening Dana Funder)"")",Chrome 102.0.5005.115,,,2022-06-16 09:20:48,2022-06-16 09:20:48,0.095s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-16 09:20:48,2022-06-16 09:20:50,2.004s,PASSED
closeBrowser(),Chrome 102.0.5005.115,,,2022-06-16 09:20:50,2022-06-16 09:20:50,0.144s,PASSED
