Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register dan Login Pemberi Dana,,,,2022-06-02 15:57:59,2022-06-02 15:58:00,1.698s,ERROR
,,,,,,,
Test Cases/Registrasi Pemberi Dana,,,,2022-06-02 15:57:59,2022-06-02 15:58:00,0.495s,ERROR
Time = SimpleDateFormat(ddHHmmss).format(getInstance().getTime()),,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.049s,PASSED
no = 62812 + Time,,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.000s,PASSED
Phone = no,,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.031s,ERROR
,,,,,,,
Test Cases/Aktivasi Email Alternativ,,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.539s,FAILED
"executeJavaScript(""window.open();"", [])",,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.315s,FAILED
,,,,,,,
Test Cases/Login,,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.250s,FAILED
"verifyElementText(findTestObject(""Login/Dashboard""), ""Login untuk masuk ke akun Kamu."")",,,,2022-06-02 15:58:00,2022-06-02 15:58:00,0.140s,FAILED
